,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
159,0,3,0,1,8,2,0
160,0,3,0,2,0,1,0
161,1,2,1,2,0,0,0
162,0,3,0,1,0,0,0
163,0,3,0,1,0,0,0
164,0,3,0,0,4,1,0
165,1,3,0,0,0,2,0
166,1,1,1,2,0,1,0
167,0,3,1,2,1,4,0
168,0,1,0,2,0,0,0
169,0,3,0,1,0,0,0
170,0,1,0,3,0,0,0
171,0,3,0,0,4,1,2
172,1,3,1,0,1,1,0
173,0,3,0,1,0,0,0
174,0,1,0,3,0,0,1
175,0,3,0,1,1,1,0
176,0,3,0,1,3,1,0
177,0,1,1,3,0,0,1
178,0,2,0,1,0,0,0
179,0,3,0,2,0,0,0
180,0,3,1,1,8,2,0
181,0,2,0,1,0,0,1
182,0,3,0,0,4,2,0
183,1,2,0,0,2,1,0
184,1,3,1,0,0,2,0
185,0,1,0,2,0,0,0
186,1,3,1,1,1,0,2
187,1,1,0,2,0,0,0
188,0,3,0,2,1,1,2
189,0,3,0,2,0,0,0
190,1,2,1,1,0,0,0
191,0,2,0,1,0,0,0
192,1,3,1,1,1,0,0
193,1,2,0,0,1,1,0
194,1,1,1,2,0,0,1
195,1,1,1,3,0,0,1
196,0,3,0,1,0,0,2
197,0,3,0,2,0,1,0
198,1,3,1,1,0,0,2
199,0,2,1,1,0,0,0
200,0,3,0,1,0,0,0
201,0,3,0,1,8,2,0
202,0,3,0,2,0,0,0
203,0,3,0,2,0,0,1
204,1,3,0,1,0,0,0
205,0,3,1,0,0,1,0
206,0,3,0,1,1,0,0
207,1,3,0,1,0,0,1
208,1,3,1,0,0,0,2
209,1,1,0,2,0,0,1
210,0,3,0,1,0,0,0
211,1,2,1,2,0,0,0
212,0,3,0,1,0,0,0
213,0,2,0,1,0,0,0
214,0,3,0,1,1,0,2
215,1,1,1,1,1,0,1
216,1,3,1,1,0,0,0
217,0,2,0,2,1,0,0
218,1,1,1,1,0,0,1
219,0,2,0,1,0,0,0
220,1,3,0,0,0,0,0
221,0,2,0,1,0,0,0
222,0,3,0,3,0,0,0
223,0,3,0,1,0,0,0
224,1,1,0,2,1,0,0
225,0,3,0,1,0,0,0
226,1,2,0,1,0,0,0
227,0,3,0,1,0,0,0
228,0,2,0,1,0,0,0
229,0,3,1,1,3,1,0
230,1,1,1,2,1,0,0
231,0,3,0,1,0,0,0
232,0,2,0,3,0,0,0
233,1,3,1,0,4,2,0
234,0,2,0,1,0,0,0
235,0,3,1,1,0,0,0
236,0,2,0,2,1,0,0
237,1,2,1,0,0,2,0
238,0,2,0,1,0,0,0
239,0,2,0,2,0,0,0
240,0,3,1,1,1,0,1
241,1,3,1,1,1,0,2
242,0,2,0,1,0,0,0
243,0,3,0,1,0,0,0
244,0,3,0,1,0,0,1
245,0,1,0,2,2,0,2
246,0,3,1,1,0,0,0
247,1,2,1,1,0,2,0
248,1,1,0,2,1,1,0
249,0,2,0,3,1,0,0
250,0,3,0,1,0,0,0
251,0,3,1,1,1,1,0
252,0,1,0,3,0,0,0
253,0,3,0,1,1,0,0
254,0,3,1,2,0,2,0
255,1,3,1,1,0,2,1
256,1,1,1,2,0,0,1
257,1,1,1,1,0,0,0
258,1,1,1,2,0,0,1
259,1,2,1,3,0,1,0
260,0,3,0,1,0,0,2
261,1,3,0,0,4,2,0
262,0,1,0,3,1,1,0
263,0,1,0,2,0,0,0
264,0,3,1,1,0,0,2
265,0,2,0,2,0,0,0
266,0,3,0,0,4,1,0
267,1,3,0,1,1,0,0
268,1,1,1,3,0,1,0
269,1,1,1,2,0,0,0
270,0,1,0,2,0,0,0
271,1,3,0,1,0,0,0
272,1,2,1,2,0,1,0
273,0,1,0,2,0,1,1
274,1,3,1,1,0,0,2
275,1,1,1,3,1,0,0
276,0,3,1,2,0,0,0
277,0,2,0,1,0,0,0
278,0,3,0,0,4,1,2
279,1,3,1,2,1,1,0
280,0,3,0,4,0,0,2
281,0,3,0,1,0,0,0
282,0,3,0,0,0,0,0
283,1,3,0,1,0,0,0
284,0,1,0,2,0,0,0
285,0,3,0,2,0,0,1
286,1,3,0,1,0,0,0
287,0,3,0,1,0,0,0
288,1,2,0,2,0,0,0
289,1,3,1,1,0,0,2
290,1,1,1,1,0,0,0
291,1,1,1,1,1,0,1
292,0,2,0,2,0,0,1
293,0,3,1,1,0,0,0
294,0,3,0,1,0,0,0
295,0,1,0,2,0,0,1
296,0,3,0,1,0,0,1
297,0,1,1,0,1,2,0
298,1,1,0,2,0,0,0
299,1,1,1,3,0,1,1
300,1,3,1,1,0,0,2
301,1,3,0,1,2,0,2
302,0,3,0,1,0,0,0
303,1,2,1,1,0,0,2
304,0,3,0,1,0,0,0
305,1,1,0,0,1,2,0
306,1,1,1,2,0,0,1
307,1,1,1,1,1,0,1
308,0,2,0,1,1,0,1
309,1,1,1,1,0,0,1
310,1,1,1,1,0,0,1
311,1,1,1,1,2,2,1
312,0,2,1,1,1,1,0
313,0,3,0,1,0,0,0
314,0,2,0,2,1,1,0
315,1,3,1,1,0,0,0
316,1,2,1,1,1,0,0
317,0,2,0,3,0,0,0
318,1,1,1,1,0,2,0
319,1,1,1,2,1,1,1
320,0,3,0,1,0,0,0
321,0,3,0,1,0,0,0
322,1,2,1,1,0,0,2
323,1,2,1,1,1,1,0
324,0,3,0,1,8,2,0
325,1,1,1,2,0,0,1
326,0,3,0,3,0,0,0
327,1,2,1,2,0,0,0
328,1,3,1,1,1,1,0
329,1,1,1,0,0,1,1
330,1,3,1,1,2,0,2
331,0,1,0,2,0,0,0
332,0,1,0,2,0,1,0
333,0,3,0,0,2,0,0
334,1,1,1,2,1,0,0
335,0,3,0,1,0,0,0
336,0,1,0,1,1,0,0
337,1,1,1,2,0,0,1
338,1,3,0,2,0,0,0
339,0,1,0,2,0,0,0
340,1,2,0,0,1,1,0
341,1,1,1,1,3,2,0
342,0,2,0,1,0,0,0
343,0,2,0,1,0,0,0
344,0,2,0,2,0,0,0
345,1,2,1,1,0,0,0
346,1,2,1,2,0,0,0
347,1,3,1,1,1,0,0
348,1,3,0,0,1,1,0
349,0,3,0,2,0,0,0
350,0,3,0,1,0,0,0
351,0,1,0,2,0,0,0
352,0,3,0,0,1,1,1
353,0,3,0,1,1,0,0
354,0,3,0,1,0,0,1
355,0,3,0,1,0,0,0
356,1,1,1,1,0,1,0
357,0,2,1,2,0,0,0
358,1,3,1,1,0,0,2
359,1,3,1,1,0,0,2
360,0,3,0,2,1,4,0
361,0,2,0,1,1,0,1
362,0,3,1,2,0,1,1
363,0,3,0,2,0,0,0
364,0,3,0,1,1,0,2
365,0,3,0,1,0,0,0
366,1,1,1,3,1,0,1
367,1,3,1,1,0,0,1
368,1,3,1,1,0,0,2
369,1,1,1,1,0,0,1
370,1,1,0,1,1,0,1
371,0,3,0,1,1,0,0
372,0,3,0,1,0,0,0
373,0,1,0,1,0,0,1
374,0,3,1,0,3,1,0
375,1,1,1,2,1,0,1
376,1,3,1,1,0,0,0
377,0,1,0,1,0,2,1
378,0,3,0,1,0,0,1
379,0,3,0,1,0,0,0
380,1,1,1,2,0,0,1
381,1,3,1,0,0,2,1
382,0,3,0,1,0,0,0
383,1,1,1,2,1,0,0
384,0,3,0,1,0,0,0
385,0,2,0,1,0,0,0
386,0,3,0,0,5,2,0
387,1,2,1,2,0,0,0
388,0,3,0,1,0,0,2
389,1,2,1,1,0,0,1
390,1,1,0,2,1,2,0
391,1,3,0,1,0,0,0
392,0,3,0,1,2,0,0
393,1,1,1,1,1,0,1
394,1,3,1,1,0,2,0
395,0,3,0,1,0,0,0
396,0,3,1,1,0,0,0
397,0,2,0,2,0,0,0
398,0,2,0,1,0,0,0
399,1,2,1,1,0,0,0
400,1,3,0,2,0,0,0
401,0,3,0,1,0,0,0
402,0,3,1,1,1,0,0
403,0,3,0,1,1,0,0
404,0,3,1,1,0,0,0
405,0,2,0,2,1,0,0
406,0,3,0,3,0,0,0
407,1,2,0,0,1,1,0
408,0,3,0,1,0,0,0
409,0,3,1,1,3,1,0
410,0,3,0,1,0,0,0
411,0,3,0,1,0,0,2
412,1,1,1,2,1,0,2
413,0,2,0,1,0,0,0
414,1,3,0,2,0,0,0
415,0,3,1,1,0,0,0
416,1,2,1,2,1,1,0
417,1,2,1,1,0,2,0
418,0,2,0,1,0,0,0
419,0,3,1,0,0,2,0
420,0,3,0,1,0,0,1
421,0,3,0,1,0,0,2
422,0,3,0,1,0,0,0
423,0,3,1,1,1,1,0
424,0,3,0,1,1,1,0
425,0,3,0,1,0,0,0
426,1,2,1,1,1,0,0
427,1,2,1,1,0,0,0
428,0,3,0,1,0,0,2
429,1,3,0,1,0,0,0
430,1,1,0,1,0,0,0
431,1,3,1,1,1,0,0
432,1,2,1,2,1,0,0
433,0,3,0,1,0,0,0
434,0,1,0,3,1,0,0
435,1,1,1,0,1,2,0
436,0,3,1,1,2,2,0
437,1,2,1,1,2,3,0
438,0,1,0,3,1,4,0
439,0,2,0,1,0,0,0
440,1,2,1,2,1,1,0
441,0,3,0,1,0,0,0
442,0,3,0,1,1,0,0
443,1,2,1,1,0,0,0
444,1,3,0,1,0,0,0
445,1,1,0,0,0,2,0
446,1,2,1,0,0,1,0
447,1,1,0,2,0,0,0
448,1,3,1,0,2,1,1
449,1,1,0,3,0,0,0
450,0,2,0,2,1,2,0
451,0,3,0,1,1,0,0
452,0,1,0,1,0,0,1
453,1,1,0,3,1,0,1
454,0,3,0,1,0,0,0
455,1,3,0,1,0,0,1
456,0,1,0,4,0,0,0
457,1,1,1,2,1,0,0
458,1,2,1,3,0,0,0
459,0,3,0,1,0,0,2
460,1,1,0,2,0,0,0
461,0,3,0,2,0,0,0
462,0,1,0,2,0,0,0
463,0,2,0,2,0,0,0
464,0,3,0,1,0,0,0
465,0,3,0,2,0,0,0
466,0,2,0,1,0,0,0
467,0,1,0,3,0,0,0
468,0,3,0,1,0,0,2
469,1,3,1,0,2,1,1
470,0,3,0,1,0,0,0
471,0,3,0,2,0,0,0
472,1,2,1,2,1,2,0
473,1,2,1,1,0,0,1
474,0,3,1,1,0,0,0
475,0,1,0,2,0,0,0
476,0,2,0,2,1,0,0
477,0,3,0,1,1,0,0
478,0,3,0,1,0,0,0
479,1,3,1,0,0,1,0
480,0,3,0,0,5,2,0
481,0,2,0,1,0,0,0
482,0,3,0,3,0,0,0
483,1,3,1,3,0,0,0
484,1,1,0,1,1,0,1
485,0,3,1,1,3,1,0
486,1,1,1,2,1,0,0
487,0,1,0,3,0,0,1
488,0,3,0,1,0,0,0
489,1,3,0,0,1,1,0
490,0,3,0,1,1,0,0
491,0,3,0,1,0,0,0
492,0,1,0,3,0,0,0
493,0,1,0,4,0,0,1
494,0,3,0,1,0,0,0
495,0,3,0,1,0,0,1
496,1,1,1,3,1,0,1
497,0,3,0,1,0,0,0
498,0,1,1,1,1,2,0
499,0,3,0,1,0,0,0
500,0,3,0,1,0,0,0
501,0,3,1,1,0,0,2
502,0,3,1,1,0,0,2
503,0,3,1,2,0,0,0
504,1,1,1,0,0,0,0
505,0,1,0,1,1,0,1
506,1,2,1,2,0,2,0
507,1,1,0,2,0,0,0
508,0,3,0,1,0,0,0
509,1,3,0,1,0,0,0
510,1,3,0,1,0,0,2
511,0,3,0,1,0,0,0
512,1,1,0,2,0,0,0
513,1,1,1,3,1,0,1
514,0,3,0,1,0,0,0
515,0,1,0,2,0,0,0
516,1,2,1,2,0,0,0
517,0,3,0,1,0,0,2
518,1,2,1,2,1,0,0
519,0,3,0,1,0,0,0
520,1,1,1,1,0,0,0
521,0,3,0,1,0,0,0
522,0,3,0,1,0,0,1
523,1,1,1,2,0,1,1
524,0,3,0,1,0,0,1
525,0,3,0,2,0,0,2
526,1,2,1,3,0,0,0
527,0,1,0,2,0,0,0
528,0,3,0,2,0,0,0
529,0,2,0,1,2,1,0
530,1,2,1,0,1,1,0
531,0,3,0,1,0,0,1
532,0,3,0,1,1,1,1
533,1,3,1,1,0,2,1
534,0,3,1,1,0,0,0
535,1,2,1,0,0,2,0
536,0,1,0,2,0,0,0
537,1,1,1,1,0,0,1
538,0,3,0,1,0,0,0
539,1,1,1,1,0,2,1
540,1,1,1,2,0,2,0
541,0,3,1,0,4,2,0
542,0,3,1,0,4,2,0
543,1,2,0,1,1,0,0
544,0,1,0,3,1,0,1
545,0,1,0,3,0,0,0
546,1,2,1,1,1,0,0
547,1,2,0,1,0,0,1
548,0,3,0,2,1,1,0
549,1,2,0,0,1,1,0
550,1,1,0,1,0,2,1
551,0,2,0,1,0,0,0
552,0,3,0,1,0,0,2
553,1,3,0,1,0,0,1
554,1,3,1,1,0,0,0
555,0,1,0,3,0,0,0
556,1,1,1,2,1,0,1
557,0,1,0,2,0,0,1
558,1,1,1,2,1,1,0
559,1,3,1,2,1,0,0
560,0,3,0,1,0,0,2
561,0,3,0,2,0,0,0
562,0,2,0,1,0,0,0
563,0,3,0,1,0,0,0
564,0,3,1,1,0,0,0
565,0,3,0,1,2,0,0
566,0,3,0,1,0,0,0
567,0,3,1,1,0,4,0
568,0,3,0,1,0,0,1
569,1,3,0,1,0,0,0
570,1,2,0,3,0,0,0
571,1,1,1,3,2,0,0
572,1,1,0,2,0,0,0
573,1,3,1,1,0,0,2
574,0,3,0,0,0,0,0
575,0,3,0,1,0,0,0
576,1,2,1,2,0,0,0
577,1,1,1,2,1,0,0
578,0,3,1,1,1,0,1
579,1,3,0,1,0,0,0
580,1,2,1,1,1,1,0
581,1,1,1,2,1,1,1
582,0,2,0,3,0,0,0
583,0,1,0,2,0,0,1
584,0,3,0,1,0,0,1
585,1,1,1,1,0,2,0
586,0,2,0,2,0,0,0
587,1,1,0,3,1,1,1
588,0,3,0,1,0,0,0
589,0,3,0,1,0,0,0
590,0,3,0,2,0,0,0
591,1,1,1,3,1,0,1
592,0,3,0,2,0,0,0
593,0,3,1,1,0,2,2
594,0,2,0,2,1,0,0
595,0,3,0,2,1,1,0
596,1,2,1,1,0,0,0
597,0,3,0,3,0,0,0
598,0,3,0,1,0,0,1
599,1,1,0,3,1,0,1
600,1,2,1,1,2,1,0
601,0,3,0,1,0,0,0
602,0,1,0,2,0,0,0
603,0,3,0,2,0,0,0
604,1,1,0,2,0,0,1
605,0,3,0,2,1,0,0
606,0,3,0,1,0,0,0
607,1,1,0,1,0,0,0
608,1,2,1,1,1,2,1
609,1,1,1,2,0,0,0
610,0,3,1,2,1,5,0
611,0,3,0,1,0,0,0
612,1,3,1,1,1,0,2
613,0,3,0,1,0,0,2
614,0,3,0,2,0,0,0
615,1,2,1,1,1,2,0
616,0,3,0,2,1,1,0
617,0,3,1,1,1,0,0
618,1,2,1,0,2,1,0
619,0,2,0,1,0,0,0
620,0,3,0,1,1,0,1
621,1,1,0,2,1,0,0
622,1,3,0,1,1,1,1
623,0,3,0,1,0,0,0
624,0,3,0,1,0,0,0
625,0,1,0,3,0,0,0
626,0,2,0,3,0,0,2
627,1,1,1,1,0,0,0
628,0,3,0,1,0,0,0
629,0,3,0,1,0,0,2
630,1,1,0,4,0,0,0
631,0,3,0,3,0,0,0
632,1,1,0,1,0,0,1
633,0,1,0,2,0,0,0
634,0,3,1,0,3,2,0
635,1,2,1,1,0,0,0
636,0,3,0,1,0,0,0
637,0,2,0,1,1,1,0
638,0,3,1,2,0,5,0
639,0,3,0,1,1,0,0
640,0,3,0,1,0,0,0
641,1,1,1,1,0,0,1
642,0,3,1,0,3,2,0
643,1,3,0,1,0,0,0
644,1,3,1,0,2,1,1
645,1,1,0,2,1,0,1
646,0,3,0,1,0,0,0
647,1,1,0,3,0,0,1
648,0,3,0,1,0,0,0
649,1,3,1,1,0,0,0
650,0,3,0,1,0,0,0
651,1,2,1,1,0,1,0
652,0,3,0,1,0,0,0
653,1,3,1,1,0,0,2
654,0,3,1,1,0,0,2
655,0,2,0,1,2,0,0
656,0,3,0,1,0,0,0
657,0,3,1,1,1,1,2
658,0,2,0,1,0,0,0
659,0,1,0,3,0,2,1
660,1,1,0,3,2,0,0
661,0,3,0,2,0,0,1
662,0,1,0,2,0,0,0
663,0,3,0,2,0,0,0
664,1,3,0,1,1,0,0
665,0,2,0,1,2,0,0
666,0,2,0,1,0,0,0
667,0,3,0,1,0,0,0
668,0,3,0,2,0,0,0
669,1,1,1,2,1,0,0
670,1,2,1,2,1,1,0
671,0,1,0,1,1,0,0
672,0,2,0,4,0,0,0
673,1,2,0,1,0,0,0
674,0,2,0,1,0,0,0
675,0,3,0,1,0,0,0
676,0,3,0,1,0,0,0
677,1,3,1,1,0,0,0
678,0,3,1,2,1,6,0
679,1,1,0,2,0,1,1
680,0,3,1,1,0,0,2
681,1,1,0,1,0,0,1
682,0,3,0,1,0,0,0
683,0,3,0,0,5,2,0
684,0,2,0,3,1,1,0
685,0,2,0,1,1,2,1
686,0,3,0,0,4,1,0
687,0,3,0,1,0,0,0
688,0,3,0,1,0,0,0
689,1,1,1,0,0,1,0
690,1,1,0,1,1,0,0
691,1,3,1,0,0,1,1
692,1,3,0,1,0,0,0
693,0,3,0,1,0,0,1
694,0,1,0,3,0,0,0
695,0,2,0,3,0,0,0
696,0,3,0,2,0,0,0
697,1,3,1,1,0,0,2
698,0,1,0,3,1,1,1
699,0,3,0,2,0,0,0
700,1,1,1,1,1,0,1
701,1,1,0,2,0,0,0
702,0,3,1,1,0,1,1
703,0,3,0,1,0,0,2
704,0,3,0,1,1,0,0
705,0,2,0,2,0,0,0
706,1,2,1,2,0,0,0
707,1,1,0,2,0,0,0
708,1,1,1,1,0,0,0
709,1,3,0,1,1,1,1
710,1,1,1,1,0,0,1
711,0,1,0,2,0,0,0
712,1,1,0,2,1,0,0
713,0,3,0,1,0,0,0
714,0,2,0,3,0,0,0
715,0,3,0,1,0,0,0
716,1,1,1,2,0,0,1
717,1,2,1,1,0,0,0
718,0,3,0,1,0,0,2
719,0,3,0,2,0,0,0
720,1,2,1,0,0,1,0
721,0,3,0,1,1,0,0
722,0,2,0,2,0,0,0
723,0,2,0,3,0,0,0
724,1,1,0,1,1,0,0
725,0,3,0,1,0,0,0
726,1,2,1,1,3,0,0
727,1,3,1,1,0,0,2
728,0,2,0,1,1,0,0
729,0,3,1,1,1,0,0
730,1,1,1,1,0,0,0
731,0,3,0,0,0,0,1
732,0,2,0,1,0,0,0
733,0,2,0,1,0,0,0
734,0,2,0,1,0,0,0
735,0,3,0,1,0,0,0
736,0,3,1,2,1,3,0
737,1,1,0,2,0,0,1
738,0,3,0,1,0,0,0
739,0,3,0,1,0,0,0
740,1,1,0,2,0,0,0
741,0,1,0,2,1,0,0
742,1,1,1,1,2,2,1
743,0,3,0,1,1,0,0
744,1,3,0,1,0,0,0
745,0,1,0,4,1,1,0
746,0,3,0,0,1,1,0
747,1,2,1,1,0,0,0
748,0,1,0,1,1,0,0
749,0,3,0,1,0,0,2
750,1,2,1,0,1,1,0
751,1,3,0,0,0,1,0
752,0,3,0,2,0,0,0
753,0,3,0,1,0,0,0
754,1,2,1,2,1,2,0
755,1,2,0,0,1,1,0
756,0,3,0,1,0,0,0
757,0,2,0,1,0,0,0
758,0,3,0,2,0,0,0
759,1,1,1,2,0,0,0
760,0,3,0,1,0,0,0
761,0,3,0,2,0,0,0
762,1,3,0,1,0,0,1
763,1,1,1,2,1,2,0
764,0,3,0,0,0,0,0
765,1,1,1,3,1,0,0
766,0,1,0,2,0,0,1
767,0,3,1,1,0,0,2
768,0,3,0,1,1,0,2
769,0,3,0,1,0,0,0
770,0,3,0,1,0,0,0
771,0,3,0,2,0,0,0
772,0,2,1,3,0,0,0
773,0,3,0,1,0,0,1
774,1,2,1,3,1,3,0
775,0,3,0,1,0,0,0
776,0,3,0,1,0,0,2
777,1,3,1,0,0,0,0
778,0,3,0,1,0,0,2
779,1,1,1,2,0,1,0
780,1,3,1,0,0,0,1
781,1,1,1,1,1,0,0
782,0,1,0,1,0,0,0
783,0,3,0,1,1,2,0
784,0,3,0,1,0,0,0
785,0,3,0,1,0,0,0
786,1,3,1,1,0,0,0
787,0,3,0,0,4,1,2
788,1,3,0,0,1,2,0
789,0,1,0,2,0,0,1
790,0,3,0,1,0,0,2
791,0,2,0,0,0,0,0
792,0,3,1,1,8,2,0
793,0,1,0,2,0,0,1
794,0,3,0,1,0,0,0
795,0,2,0,2,0,0,0
796,1,1,1,3,0,0,0
797,1,3,1,1,0,0,0
798,0,3,0,1,0,0,1
799,0,3,1,1,1,1,0
800,0,2,0,2,0,0,0
801,1,2,1,1,1,1,0
802,1,1,0,0,1,2,0
803,1,3,0,0,0,1,1
804,1,3,0,1,0,0,0
805,0,3,0,1,0,0,0
806,0,1,0,2,0,0,0
807,0,3,1,1,0,0,0
808,0,2,0,2,0,0,0
809,1,1,1,2,1,0,0
810,0,3,0,1,0,0,0
811,0,3,0,2,0,0,0
812,0,2,0,2,0,0,0
813,0,3,1,0,4,2,0
814,0,3,0,1,0,0,0
815,0,1,0,2,0,0,0
816,0,3,1,1,0,0,0
817,0,2,0,1,1,1,1
818,0,3,0,2,0,0,0
819,0,3,0,0,3,2,0
820,1,1,1,3,1,1,0
821,1,3,0,1,0,0,0
822,0,1,0,2,0,0,0
823,1,3,1,1,0,1,0
824,0,3,0,0,4,1,0
825,0,3,0,1,0,0,2
826,0,3,0,1,0,0,0
827,1,2,0,0,0,2,1
828,1,3,0,1,0,0,2
829,1,1,1,3,0,0,0
830,1,3,1,0,1,0,1
831,1,2,0,0,1,1,0
832,0,3,0,1,0,0,1
833,0,3,0,1,0,0,0
834,0,3,0,1,0,0,0
835,1,1,1,2,1,1,1
836,0,3,0,1,0,0,0
837,0,3,0,1,0,0,0
838,1,3,0,1,0,0,0
839,1,1,0,2,0,0,1
840,0,3,0,1,0,0,0
841,0,2,0,0,0,0,0
842,1,1,1,1,0,0,1
843,0,3,0,2,0,0,1
844,0,3,0,1,0,0,0
845,0,3,0,2,0,0,0
846,0,3,0,1,8,2,0
847,0,3,0,2,0,0,1
848,0,2,0,1,0,1,0
849,1,1,1,2,1,0,1
850,0,3,0,0,4,2,0
851,0,3,0,4,0,0,0
852,0,3,1,0,1,1,1
853,1,1,1,0,0,1,0
854,0,2,1,2,1,0,0
855,1,3,1,1,0,1,0
856,1,1,1,2,1,1,0
857,1,1,0,3,0,0,0
858,1,3,1,1,0,3,1
859,0,3,0,1,0,0,1
860,0,3,0,2,2,0,0
861,0,2,0,1,1,0,0
862,1,1,1,2,0,0,0
863,0,3,1,1,8,2,0
864,0,2,0,1,0,0,0
865,1,2,1,2,0,0,0
866,1,2,1,1,1,0,1
867,0,1,0,1,0,0,0
868,0,3,0,1,0,0,0
869,1,3,0,0,1,1,0
870,0,3,0,1,0,0,0
